Dataline,Play,ActSceneLine,PlayerLine,split,modern_line_v1,modern_line_final,method,annotator_id,reviewer_id,status,quality_score,confidence,context_window,reference_source,notes,last_updated_utc,row_type,ambiguity_flag,alignment_status,reject_reason
3319,Henry VI Part 1,1.1.108,Betwixt the stout Lord Talbot and the French.,train,Betwixt the stout Lord Talbot and the French.,,retrieved_paraphrase_guided_original,agent_option_c_fallback,,rejected,2,low,"Wherewith you now bedew King Henry's hearse, || I must inform you of a dismal fight || Betwixt the stout Lord Talbot and the French. || BISHOP || What! wherein Talbot overcame? is't so?",https://www.litcharts.com/shakescleare/shakespeare-translations/henry-iv-part-1|act=1|scene=1|line=108,fallback_mode=true | unresolved_lexicon:betwixt,2026-04-07T00:34:37+00:00,dialogue,True,not_applicable_fallback,unresolved_lexicon:betwixt
3321,Henry VI Part 1,1.1.110,What! wherein Talbot overcame? is't so?,train,What! wherein Talbot overcame? is't so?,,retrieved_paraphrase_guided_original,agent_option_c_fallback,,rejected,2,low,"Betwixt the stout Lord Talbot and the French. || BISHOP || What! wherein Talbot overcame? is't so? || O, no, wherein Lord Talbot was o'erthrown: || The circumstance I'll tell you more at large.",https://www.litcharts.com/shakescleare/shakespeare-translations/henry-iv-part-1|act=1|scene=1|line=110,fallback_mode=true | unresolved_lexicon:wherein,2026-04-07T00:34:37+00:00,dialogue,True,not_applicable_fallback,unresolved_lexicon:wherein
3322,Henry VI Part 1,1.1.111,"O, no, wherein Lord Talbot was o'erthrown:",train,"O, no, wherein Lord Talbot was o'erthrown:",,retrieved_paraphrase_guided_original,agent_option_c_fallback,,rejected,2,low,"BISHOP || What! wherein Talbot overcame? is't so? || O, no, wherein Lord Talbot was o'erthrown: || The circumstance I'll tell you more at large. || The tenth of August last this dreadful lord,",https://www.litcharts.com/shakescleare/shakespeare-translations/henry-iv-part-1|act=1|scene=1|line=111,fallback_mode=true | unresolved_lexicon:wherein,2026-04-07T00:34:37+00:00,dialogue,True,not_applicable_fallback,unresolved_lexicon:wherein
3505,Henry VI Part 1,1.2.102,"churchyard,",train,"churchyard,",,retrieved_paraphrase_guided_original,agent_option_c_fallback,,rejected,2,low,"Deck'd with five flower-de-luces on each side, || The which at Touraine, in Saint Katharine's || churchyard, || Out of a great deal of old iron I chose forth. || Then come, o' God's name, I fear no woman.",https://www.litcharts.com/shakescleare/shakespeare-translations/henry-iv-part-1|act=1|scene=2|line=102,fallback_mode=true | length_outlier,2026-04-07T00:34:37+00:00,dialogue,True,not_applicable_fallback,length_outlier
3695,Henry VI Part 1,1.4.26,"Discourse, I prithee, on this turret's top.",train,"Discourse, I prithee, on this turret's top.",,retrieved_paraphrase_guided_original,agent_option_c_fallback,,rejected,2,low,"How wert thou handled being prisoner? || Or by what means got'st thou to be released? || Discourse, I prithee, on this turret's top. || The Duke of Bedford had a prisoner || Call'd the brave Lord Ponton de Santrailles,",https://www.litcharts.com/shakescleare/shakespeare-translations/henry-iv-part-1|act=1|scene=4|line=26,fallback_mode=true | unresolved_lexicon:prithee,2026-04-07T00:34:37+00:00,dialogue,True,not_applicable_fallback,unresolved_lexicon:prithee
3980,Henry VI Part 1,2.2.13,"A tomb, wherein his corpse shall be interr'd:",train,"A tomb, wherein his corpse shall be interr'd:",,retrieved_paraphrase_guided_original,agent_option_c_fallback,,rejected,2,low,"What ruin happen'd in revenge of him, || Within their chiefest temple I'll erect || A tomb, wherein his corpse shall be interr'd: || Upon the which, that every one may read, || Shall be engraved the sack of Orleans,",https://www.litcharts.com/shakescleare/shakespeare-translations/henry-iv-part-1|act=2|scene=2|line=13,fallback_mode=true | unresolved_lexicon:wherein,2026-04-07T00:34:37+00:00,dialogue,True,not_applicable_fallback,unresolved_lexicon:wherein
4048,Henry VI Part 1,2.3.13,"Madam,",train,"Madam,",,retrieved_paraphrase_guided_original,agent_option_c_fallback,,rejected,2,low,"Fain would mine eyes be witness with mine ears, || To give their censure of these rare reports. || Madam, || According as your ladyship desired, || By message craved, so is Lord Talbot come.",https://www.litcharts.com/shakescleare/shakespeare-translations/henry-iv-part-1|act=2|scene=3|line=13,fallback_mode=true | length_outlier,2026-04-07T00:34:37+00:00,dialogue,True,not_applicable_fallback,length_outlier
4072,Henry VI Part 1,2.3.37,"Marry, for that she's in a wrong belief,",train,"Marry, for that she's in a wrong belief,",,retrieved_paraphrase_guided_original,agent_option_c_fallback,,rejected,2,low,"Stay, my Lord Talbot, for my lady craves || To know the cause of your abrupt departure. || Marry, for that she's in a wrong belief, || I go to certify her Talbot's here. || COUNTESS",https://www.litcharts.com/shakescleare/shakespeare-translations/henry-iv-part-1|act=2|scene=3|line=37,fallback_mode=true | unresolved_lexicon:marry,2026-04-07T00:34:37+00:00,dialogue,True,not_applicable_fallback,unresolved_lexicon:marry
4597,Henry VI Part 1,3.1.153,Betwixt ourselves and all our followers:,train,Betwixt ourselves and all our followers:,,retrieved_paraphrase_guided_original,agent_option_c_fallback,,rejected,2,low,"See here, my friends and loving countrymen, || This token serveth for a flag of truce || Betwixt ourselves and all our followers: || So help me God, as I dissemble not! || BISHOP",https://www.litcharts.com/shakescleare/shakespeare-translations/henry-iv-part-1|act=3|scene=1|line=153,fallback_mode=true | unresolved_lexicon:betwixt,2026-04-07T00:34:37+00:00,dialogue,True,not_applicable_fallback,unresolved_lexicon:betwixt
4653,Henry VI Part 1,3.1.207,This late dissension grown betwixt the peers,train,This late dissension grown betwixt the peers,,retrieved_paraphrase_guided_original,agent_option_c_fallback,,rejected,2,low,"Ay, we may march in England or in France, || Not seeing what is likely to ensue. || This late dissension grown betwixt the peers || Burns under feigned ashes of forged love || And will at last break out into a flame:",https://www.litcharts.com/shakescleare/shakespeare-translations/henry-iv-part-1|act=3|scene=1|line=207,fallback_mode=true | unresolved_lexicon:betwixt,2026-04-07T00:34:37+00:00,dialogue,True,not_applicable_fallback,unresolved_lexicon:betwixt
4814,Henry VI Part 1,3.2.128,"Placing therein some expert officers,",train,"Placing therein some expert officers,",,retrieved_paraphrase_guided_original,agent_option_c_fallback,,rejected,2,low,"That such a valiant company are fled. || Now will we take some order in the town, || Placing therein some expert officers, || And then depart to Paris to the king, || For there young Henry with his nobles lie.",https://www.litcharts.com/shakescleare/shakespeare-translations/henry-iv-part-1|act=3|scene=2|line=128,fallback_mode=true | unresolved_lexicon:therein,2026-04-07T00:34:37+00:00,dialogue,True,not_applicable_fallback,unresolved_lexicon:therein
4848,Henry VI Part 1,3.3.21,"Ay, marry, sweeting, if we could do that,",train,"Ay, marry, sweeting, if we could do that,",,retrieved_paraphrase_guided_original,agent_option_c_fallback,,rejected,2,low,"We will entice the Duke of Burgundy || To leave the Talbot and to follow us. || Ay, marry, sweeting, if we could do that, || France were no place for Henry's warriors, || Nor should that nation boast it so with us,",https://www.litcharts.com/shakescleare/shakespeare-translations/henry-iv-part-1|act=3|scene=3|line=21,fallback_mode=true | unresolved_lexicon:marry,2026-04-07T00:34:37+00:00,dialogue,True,not_applicable_fallback,unresolved_lexicon:marry
5081,Henry VI Part 1,4.1.98,"Argued betwixt the Duke of York and him,",train,"Argued betwixt the Duke of York and him,",,retrieved_paraphrase_guided_original,agent_option_c_fallback,,rejected,2,low,"When stubbornly he did repugn the truth || About a certain question in the law || Argued betwixt the Duke of York and him, || With other vile and ignominious terms: || In confutation of which rude reproach",https://www.litcharts.com/shakescleare/shakespeare-translations/henry-iv-part-1|act=4|scene=1|line=98,fallback_mode=true | unresolved_lexicon:betwixt,2026-04-07T00:34:37+00:00,dialogue,True,not_applicable_fallback,unresolved_lexicon:betwixt
5104,Henry VI Part 1,4.1.121,Betwixt ourselves let us decide it then.,train,Betwixt ourselves let us decide it then.,,retrieved_paraphrase_guided_original,agent_option_c_fallback,,rejected,2,low,"And then your highness shall command a peace. || The quarrel toucheth none but us alone, || Betwixt ourselves let us decide it then. || There is my pledge, accept it, Somerset. || Nay, let it rest where it began at first.",https://www.litcharts.com/shakescleare/shakespeare-translations/henry-iv-part-1|act=4|scene=1|line=121,fallback_mode=true | unresolved_lexicon:betwixt,2026-04-07T00:34:37+00:00,dialogue,True,not_applicable_fallback,unresolved_lexicon:betwixt
5116,Henry VI Part 1,4.1.133,To raise a mutiny betwixt yourselves:,train,To raise a mutiny betwixt yourselves:,,retrieved_paraphrase_guided_original,agent_option_c_fallback,,rejected,2,low,"To bear with their perverse objections, || Much less to take occasion from their mouths || To raise a mutiny betwixt yourselves: || Let me persuade you take a better course. || It grieves his highness: good my lords, be friends.",https://www.litcharts.com/shakescleare/shakespeare-translations/henry-iv-part-1|act=4|scene=1|line=133,fallback_mode=true | unresolved_lexicon:betwixt,2026-04-07T00:34:37+00:00,dialogue,True,not_applicable_fallback,unresolved_lexicon:betwixt
5143,Henry VI Part 1,4.1.159,"Because, forsooth, the king of Scots is crown'd.",train,"Because, forsooth, the king of Scots is crown'd.",,retrieved_paraphrase_guided_original,agent_option_c_fallback,,rejected,2,low,"Both are my kinsmen, and I love them both: || As well they may upbraid me with my crown, || Because, forsooth, the king of Scots is crown'd. || But your discretions better can persuade || Than I am able to instruct or teach:",https://www.litcharts.com/shakescleare/shakespeare-translations/henry-iv-part-1|act=4|scene=1|line=159,fallback_mode=true | unresolved_lexicon:forsooth,2026-04-07T00:34:37+00:00,dialogue,True,not_applicable_fallback,unresolved_lexicon:forsooth
5588,Henry VI Part 1,5.1.11,"Ay, marry, uncle, for I always thought",train,"Ay, marry, uncle, for I always thought",,retrieved_paraphrase_guided_original,agent_option_c_fallback,,rejected,2,low,"To stop effusion of our Christian blood || And 'stablish quietness on every side. || Ay, marry, uncle, for I always thought || It was both impious and unnatural || That such immanity and bloody strife",https://www.litcharts.com/shakescleare/shakespeare-translations/henry-iv-part-1|act=5|scene=1|line=11,fallback_mode=true | unresolved_lexicon:marry,2026-04-07T00:34:37+00:00,dialogue,True,not_applicable_fallback,unresolved_lexicon:marry
5656,Henry VI Part 1,5.2.10,"What tidings send our scouts? I prithee, speak.",train,"What tidings send our scouts? I prithee, speak.",,retrieved_paraphrase_guided_original,agent_option_c_fallback,,rejected,2,low,"Success unto our valiant general, || And happiness to his accomplices! || What tidings send our scouts? I prithee, speak. || The English army, that divided was || Into two parties, is now conjoined in one,",https://www.litcharts.com/shakescleare/shakespeare-translations/henry-iv-part-1|act=5|scene=2|line=10,fallback_mode=true | unresolved_lexicon:prithee,2026-04-07T00:34:37+00:00,dialogue,True,not_applicable_fallback,unresolved_lexicon:prithee
5721,Henry VI Part 1,5.3.43,"I prithee, give me leave to curse awhile.",train,"I prithee, give me leave to curse awhile.",,retrieved_paraphrase_guided_original,agent_option_c_fallback,,rejected,2,low,"By bloody hands, in sleeping on your beds! || Fell banning hag, enchantress, hold thy tongue! || I prithee, give me leave to curse awhile. || Curse, miscreant, when thou comest to the stake. || Be what thou wilt, thou art my prisoner.",https://www.litcharts.com/shakescleare/shakespeare-translations/henry-iv-part-1|act=5|scene=3|line=43,fallback_mode=true | unresolved_lexicon:prithee,2026-04-07T00:34:37+00:00,dialogue,True,not_applicable_fallback,unresolved_lexicon:prithee
5804,Henry VI Part 1,5.3.122,What?,train,What?,,retrieved_paraphrase_guided_original,agent_option_c_fallback,,rejected,2,low,"And set a precious crown upon thy head, || If thou wilt condescend to be my-- || What? || His love. || I am unworthy to be Henry's wife.",https://www.litcharts.com/shakescleare/shakespeare-translations/henry-iv-part-1|act=5|scene=3|line=122,fallback_mode=true | length_outlier,2026-04-07T00:34:37+00:00,dialogue,True,not_applicable_fallback,length_outlier
5913,Henry VI Part 1,5.4.20,"Deny me not, I prithee, gentle Joan.",train,"Deny me not, I prithee, gentle Joan.",,retrieved_paraphrase_guided_original,agent_option_c_fallback,,rejected,2,low,"God knows thou art a collop of my flesh, || And for thy sake have I shed many a tear: || Deny me not, I prithee, gentle Joan. || Peasant, avaunt! You have suborn'd this man, || Of purpose to obscure my noble birth.",https://www.litcharts.com/shakescleare/shakespeare-translations/henry-iv-part-1|act=5|scene=4|line=20,fallback_mode=true | unresolved_lexicon:prithee,2026-04-07T00:34:37+00:00,dialogue,True,not_applicable_fallback,unresolved_lexicon:prithee
5977,Henry VI Part 1,5.4.83,"And yet, forsooth, she is a virgin pure.",train,"And yet, forsooth, she is a virgin pure.",,retrieved_paraphrase_guided_original,agent_option_c_fallback,,rejected,2,low,"There were so many, whom she may accuse. || It's sign she hath been liberal and free. || And yet, forsooth, she is a virgin pure. || Strumpet, thy words condemn thy brat and thee: || Use no entreaty, for it is in vain.",https://www.litcharts.com/shakescleare/shakespeare-translations/henry-iv-part-1|act=5|scene=4|line=83,fallback_mode=true | unresolved_lexicon:forsooth,2026-04-07T00:34:37+00:00,dialogue,True,not_applicable_fallback,unresolved_lexicon:forsooth
